"","year","country_code","code_2","country","region","eu_member","gdp_percap","per_growth_gdp","upop"
"1","2008","AUT","AT","Austria","Continental","EU",51708.7657541758,1.4604236757386,57966
"2","2010","AUT","AT","Austria","Continental","EU",46858.0432733717,1.83709367680054,57399
"3","2012","AUT","AT","Austria","Continental","EU",48567.69528642,0.680445576816723,57147
"4","2014","AUT","AT","Austria","Continental","EU",51717.4959405515,0.661272848852605,57526
"5","2016","AUT","AT","Austria","Continental","EU",45276.8314351693,1.98943716230463,57905
"6","2018","AUT","AT","Austria","Continental","EU",51478.2852619277,2.58012073304926,58297
"7","2008","BEL","BE","Belgium","Continental","EU",48106.892915788,0.446928735275904,97555
"8","2010","BEL","BE","Belgium","Continental","EU",44141.8781415734,2.86429270764155,97651
"9","2012","BEL","BE","Belgium","Continental","EU",44673.1158755901,0.739217283058679,97744
"10","2014","BEL","BE","Belgium","Continental","EU",47700.5403601178,1.57853314322614,97833
"11","2016","BEL","BE","Belgium","Continental","EU",41984.1030335609,1.26668640902095,97919
"12","2018","BEL","BE","Belgium","Continental","EU",47583.0749405066,1.81229599862863,98001
"13","2008","BGR","BG","Bulgaria","Eastern","EU",7265.73549682997,6.08562760690579,71622
"14","2010","BGR","BG","Bulgaria","Eastern","EU",6812.40633845402,0.559446489731144,72302
"15","2012","BGR","BG","Bulgaria","Eastern","EU",7395.84980340721,0.356586982837044,72975
"16","2014","BGR","BG","Bulgaria","Eastern","EU",7876.86646539994,1.88546463842944,73651
"17","2016","BGR","BG","Bulgaria","Eastern","EU",7548.85500737534,3.82043453021177,74329
"18","2018","BGR","BG","Bulgaria","Eastern","EU",9427.73043039881,3.09244765360886,75008
"19","2008","CHE","CH","Switzerland","Continental","Non-EU",72487.8459417575,2.1547019611267,73556
"20","2010","CHE","CH","Switzerland","Continental","Non-EU",74605.7210819748,3.00269906375317,73607
"21","2012","CHE","CH","Switzerland","Continental","Non-EU",83538.230025042,1.0060240455055,73653
"22","2014","CHE","CH","Switzerland","Continental","Non-EU",86605.5633762421,2.44921805580964,73696
"23","2016","CHE","CH","Switzerland","Continental","Non-EU",80172.2320869148,1.72274067016851,73739
"24","2018","CHE","CH","Switzerland","Continental","Non-EU",82818.1081617471,2.75055377478878,73797
"25","2008","CYP","CY","Cyprus","Southern","EU",35397.3636837901,3.6468119905756,67839
"26","2010","CYP","CY","Cyprus","Southern","EU",31023.6383309791,2.01469570699406,67551
"27","2012","CYP","CY","Cyprus","Southern","EU",28912.1569390403,-3.44682208589713,67261
"28","2014","CYP","CY","Cyprus","Southern","EU",27129.6261211298,-1.82930910922002,67031
"29","2016","CYP","CY","Cyprus","Southern","EU",24532.5190588269,6.43805848146472,66881
"30","2018","CYP","CY","Cyprus","Southern","EU",28689.7067225792,5.24074782806838,66.81
"31","2008","CZE","CZ","Czech Republic","Eastern","EU",22804.5776774507,2.68641195092762,73394
"32","2010","CZE","CZ","Czech Republic","Eastern","EU",19960.0684872157,2.43490215904518,73255
"33","2012","CZE","CZ","Czech Republic","Eastern","EU",19870.8012123403,-0.785004299003617,73197
"34","2014","CZE","CZ","Czech Republic","Eastern","EU",19890.9199056648,2.26210289708078,73384
"35","2016","CZE","CZ","Czech Republic","Eastern","EU",18575.2320271915,2.5372845203138,73.57
"36","2018","CZE","CZ","Czech Republic","Eastern","EU",23415.8436273041,3.1813140503092,73792
"37","2008","ESP","ES","Spain","Southern","EU",35366.2596011983,0.887145182485298,77976
"38","2010","ESP","ES","Spain","Southern","EU",30502.7197080776,0.163010230841422,78442
"39","2012","ESP","ES","Spain","Southern","EU",28324.4293363918,-2.95944130173555,78902
"40","2014","ESP","ES","Spain","Southern","EU",29461.5503337389,1.38390794267029,79366
"41","2016","ESP","ES","Spain","Southern","EU",26505.3432155204,3.03130132981933,79.84
"42","2018","ESP","ES","Spain","Southern","EU",30389.3609902899,2.43004714546871,80321
"43","2008","EST","EE","Estonia","Eastern","EU",18227.1195304476,-5.08894290133486,68351
"44","2010","EST","EE","Estonia","Eastern","EU",14790.8209234701,2.69032839901406,68094
"45","2012","EST","EE","Estonia","Eastern","EU",17534.421349913,3.12484637290247,67974
"46","2014","EST","EE","Estonia","Eastern","EU",20367.103161316,2.98732482453686,68269
"47","2016","EST","EE","Estonia","Eastern","EU",18437.2528207173,3.18781708302028,68563
"48","2018","EST","EE","Estonia","Eastern","EU",23170.7073775514,4.35546476501582,68.88
"49","2008","FIN","FI","Finland","Nordic","EU",53554.0389224673,0.783995060876521,83299
"50","2010","FIN","FI","Finland","Nordic","EU",46459.9732548543,3.18595865407703,83.77
"51","2012","FIN","FI","Finland","Nordic","EU",47710.7902169415,-1.39754572817782,84841
"52","2014","FIN","FI","Finland","Nordic","EU",50260.2998588958,-0.364908156882066,85175
"53","2016","FIN","FI","Finland","Nordic","EU",43784.2839622098,2.81145776663433,85275
"54","2018","FIN","FI","Finland","Nordic","EU",50030.8773106501,1.51758861140196,85382
"55","2008","FRA","FR","France","Continental","EU",45334.1144358246,0.254945960124005,77868
"56","2010","FRA","FR","France","Continental","EU",40638.33400426,1.94943762312663,78369
"57","2012","FRA","FR","France","Continental","EU",40874.7035053457,0.313134751077172,78878
"58","2014","FRA","FR","France","Continental","EU",43011.2631028417,0.956183052371557,79394
"59","2016","FRA","FR","France","Continental","EU",37037.3741861219,1.09546440372048,79917
"60","2018","FRA","FR","France","Continental","EU",41631.0907389044,1.79286392711333,80444
"61","2008","GBR","GB","United Kingdom","Anglo-Saxon","EU",47286.9984928367,-0.281153555903288,80757
"62","2010","GBR","GB","United Kingdom","Anglo-Saxon","EU",39435.8399018505,1.94952146428622,81302
"63","2012","GBR","GB","United Kingdom","Anglo-Saxon","EU",42462.771568145,1.4789239242734,81837
"64","2014","GBR","GB","United Kingdom","Anglo-Saxon","EU",47425.6076805194,2.60747590068877,82365
"65","2016","GBR","GB","United Kingdom","Anglo-Saxon","EU",41064.1334316223,1.91815513204681,82886
"66","2018","GBR","GB","United Kingdom","Anglo-Saxon","EU",43043.2278164551,1.34072060244353,83398
"67","2008","GRC","GR","Greece","Southern","EU",31997.2820241039,-0.335172452094639,75568
"68","2010","GRC","GR","Greece","Southern","EU",26917.7589549077,-5.47903689372846,76292
"69","2012","GRC","GR","Greece","Southern","EU",22242.681946404,-7.30049406220242,77004
"70","2014","GRC","GR","Greece","Southern","EU",21760.9797507704,0.739776853966688,77702
"71","2016","GRC","GR","Greece","Southern","EU",18116.4596531285,-0.190952352057238,78387
"72","2018","GRC","GR","Greece","Southern","EU",20324.3049917812,1.93437065932918,79058
"73","2008","HRV","HR","Croatia","Eastern","EU",16296.8059238498,1.89345290008815,54819
"74","2010","HRV","HR","Croatia","Eastern","EU",13949.3264974977,-1.31656297984225,55155
"75","2012","HRV","HR","Croatia","Eastern","EU",13258.3598451041,-2.3917742692408,55506
"76","2014","HRV","HR","Croatia","Eastern","EU",13599.4097770608,-0.34145251686769,55923
"77","2016","HRV","HR","Croatia","Eastern","EU",12361.4838303671,3.49813499168994,56403
"78","2018","HRV","HR","Croatia","Eastern","EU",15014.0850191716,2.80760970078776,56947
"79","2008","HUN","HU","Hungary","Eastern","EU",15753.4732840195,1.0582892500439,67943
"80","2010","HUN","HU","Hungary","Eastern","EU",13191.6212644696,1.12217824979848,68911
"81","2012","HUN","HU","Hungary","Eastern","EU",12950.6865153085,-1.38062332775523,69678
"82","2014","HUN","HU","Hungary","Eastern","EU",14267.0121547683,4.22895073481537,70227
"83","2016","HUN","HU","Hungary","Eastern","EU",13090.5067287853,2.13999571174807,70779
"84","2018","HUN","HU","Hungary","Eastern","EU",16410.1872639683,5.40529410393094,71351
"85","2008","IRL","IE","Ireland","Anglo-Saxon","EU",61262.1004631517,-4.48038347614992,61141
"86","2010","IRL","IE","Ireland","Anglo-Saxon","EU",48715.1769134801,1.80997931190268,61542
"87","2012","IRL","IE","Ireland","Anglo-Saxon","EU",48917.8976130459,0.225714790371583,61942
"88","2014","IRL","IE","Ireland","Anglo-Saxon","EU",55492.982562275,8.55668815348987,62.34
"89","2016","IRL","IE","Ireland","Anglo-Saxon","EU",63197.0823976808,3.67781580955584,62737
"90","2018","IRL","IE","Ireland","Anglo-Saxon","EU",78621.2279310086,8.16987071841437,63.17
"91","2008","ISL","IS","Iceland","Nordic","Non-EU",56409.7731130165,1.99198082855523,93395
"92","2010","ISL","IS","Iceland","Nordic","Non-EU",43024.9234930663,-3.43587559404847,93574
"93","2012","ISL","IS","Iceland","Nordic","Non-EU",45910.0205425261,1.29643760789892,93.6
"94","2014","ISL","IS","Iceland","Nordic","Non-EU",54241.9346445558,2.0826231642619,93667
"95","2016","ISL","IS","Iceland","Nordic","Non-EU",61466.8039542895,6.62703663431921,93735
"96","2018","ISL","IS","Iceland","Nordic","Non-EU",72968.7042280499,3.81442300431327,93813
"97","2008","ITA","IT","Italy","Southern","EU",40778.3427367209,-0.962012840579291,68092
"98","2010","ITA","IT","Italy","Southern","EU",36000.5201179254,1.71329583916922,68327
"99","2012","ITA","IT","Italy","Southern","EU",35053.5262442572,-2.98090576823772,68684
"100","2014","ITA","IT","Italy","Southern","EU",35518.4152916749,-0.00454754236383792,69272
"101","2016","ITA","IT","Italy","Southern","EU",30939.7142462298,1.29346273155907,69855
"102","2018","ITA","IT","Italy","Southern","EU",34615.7568910987,0.944089468582305,70438
"103","2008","LTU","LT","Lithuania","Eastern","EU",14944.996652175,2.61442303328732,66848
"104","2010","LTU","LT","Lithuania","Eastern","EU",11990.6630177633,1.65124065328366,66757
"105","2012","LTU","LT","Lithuania","Eastern","EU",14373.060522928,3.8438647490634,66864
"106","2014","LTU","LT","Lithuania","Eastern","EU",16564.9565494076,3.53700987901611,67108
"107","2016","LTU","LT","Lithuania","Eastern","EU",14998.1250595137,2.51882827307178,67366
"108","2018","LTU","LT","Lithuania","Eastern","EU",19176.1765182085,3.9368459012309,67679
"109","2008","LUX","LU","Luxembourg","Continental","EU",114293.84332087,-1.27958624140669,87.8
"110","2010","LUX","LU","Luxembourg","Continental","EU",104965.306078267,4.86496897912487,88547
"111","2012","LUX","LU","Luxembourg","Continental","EU",106749.013622989,-0.352520089272659,89249
"112","2014","LUX","LU","Luxembourg","Continental","EU",118823.648368575,4.29678630500703,89884
"113","2016","LUX","LU","Luxembourg","Continental","EU",104278.390971905,4.57460105103911,90.46
"114","2018","LUX","LU","Luxembourg","Continental","EU",116654.26106674,3.11083626560442,90981
"115","2008","LVA","LV","Latvia","Eastern","EU",16422.1119788425,-3.32730003999858,67834
"116","2010","LVA","LV","Latvia","Eastern","EU",11383.5224134721,-4.4068236355224,67841
"117","2012","LVA","LV","Latvia","Eastern","EU",13926.3473076523,4.25172304811186,67897
"118","2014","LVA","LV","Latvia","Eastern","EU",15713.536972819,1.07363408715679,67952
"119","2016","LVA","LV","Latvia","Eastern","EU",14315.7928949778,2.37292412754951,68021
"120","2018","LVA","LV","Latvia","Eastern","EU",17858.2799784486,4.02431104454983,68142
"121","2008","POL","PL","Poland","Eastern","EU",13996.0251506835,4.19996229248767,61116
"122","2010","POL","PL","Poland","Eastern","EU",12613.0109954681,3.74051777907684,60892
"123","2012","POL","PL","Poland","Eastern","EU",13097.2708482174,1.32489082785044,60654
"124","2014","POL","PL","Poland","Eastern","EU",14271.3058536202,3.37857807264132,60403
"125","2016","POL","PL","Poland","Eastern","EU",12447.4395912808,3.14173122907013,60178
"126","2018","POL","PL","Poland","Eastern","EU",15468.4822194105,5.353704746044,60058
"127","2008","PRT","PT","Portugal","Southern","EU",24847.545135091,0.319247925063081,59359
"128","2010","PRT","PT","Portugal","Southern","EU",22498.6908586557,1.73762547590566,60567
"129","2012","PRT","PT","Portugal","Southern","EU",20564.8898617969,-4.05729360769561,61763
"130","2014","PRT","PT","Portugal","Southern","EU",22074.3007634216,0.792190301875365,62936
"131","2016","PRT","PT","Portugal","Southern","EU",19978.401214968,2.01948539561312,64086
"132","2018","PRT","PT","Portugal","Southern","EU",23562.5545228191,2.84932594937632,65211
"133","2008","ROU","RO","Romania","Eastern","EU",10435.0439841037,9.30746717077338,53567
"134","2010","ROU","RO","Romania","Eastern","EU",8214.07689289811,-3.90123628018621,53829
"135","2012","ROU","RO","Romania","Eastern","EU",8507.10477456436,2.04066513079732,53974
"136","2014","ROU","RO","Romania","Eastern","EU",10043.6774497614,3.60872365319838,53.9
"137","2016","ROU","RO","Romania","Eastern","EU",9548.58740298268,4.70299774749441,53.9
"138","2018","ROU","RO","Romania","Eastern","EU",12399.889335731,4.47452377497343,53998
"139","2008","SVK","SK","Slovak Republic","Eastern","EU",18677.2927109318,5.57488636153474,55111
"140","2010","SVK","SK","Slovak Republic","Eastern","EU",16750.7974416083,5.87125610880706,54685
"141","2012","SVK","SK","Slovak Republic","Eastern","EU",17481.8954435252,1.89674227140716,54.28
"142","2014","SVK","SK","Slovak Republic","Eastern","EU",18674.3440568625,2.64158974610042,54
"143","2016","SVK","SK","Slovak Republic","Eastern","EU",16508.6703604932,2.13272778393984,53806
"144","2018","SVK","SK","Slovak Republic","Eastern","EU",19406.3475337924,3.76863150894924,53726
