"","year","country","country_code","code_2","region","eu_member","egov_index","epar_index","online_ser_index","hum_cap_index","telcom_infra_index"
"1","2008","Ireland","IRL","IE","Anglo-Saxon","EU",0.7296,0.25,0.67558,0.99315,0.5217
"2","2008","Italy","ITA","IT","Southern","EU",0.668,0.22727,0.5117,0.95824,0.53891
"3","2008","Latvia","LVA","LV","Eastern","EU",0.5944,0.22727,0.44816,0.9654,0.37406
"4","2008","Lithuania","LTU","LT","Eastern","EU",0.6617,0.47727,0.60869,0.96879,0.40925
"5","2008","Luxembourg","LUX","LU","Continental","EU",0.7512,0.61363,0.60869,0.91567,0.73362
"6","2008","Estonia","EST","EE","Eastern","EU",0.76,0.72727,0.71237,0.97344,0.59577
"7","2008","Norway","NOR","NO","Nordic","Non-EU",0.8921,0.52272,0.94648,0.99076,0.73749
"8","2008","Poland","POL","PL","Eastern","EU",0.6134,0.22727,0.53846,0.95595,0.34814
"9","2008","Portugal","PRT","PT","Southern","EU",0.6479,0.25,0.59866,0.9249,0.42153
"10","2008","Romania","ROU","RO","Eastern","EU",0.5383,0.04545,0.41471,0.90474,0.2992
"11","2008","Austria","AUT","AT","Continental","EU",0.7428,0.47727,0.66555,0.96637,0.59894
"12","2008","Belgium","BEL","BE","Continental","EU",0.6779,0.40909,0.53846,0.9771,0.52224
"13","2008","Bulgaria","BGR","BG","Eastern","EU",0.5719,0.04545,0.48494,0.92622,0.30707
"14","2008","Croatia","HRV","HR","Eastern","EU",0.565,0.13636,0.43143,0.89916,0.36832
"15","2008","Cyprus","CYP","CY","Southern","EU",0.6019,0.0909,0.47826,0.90387,0.42744
"16","2008","Czech Republic","CZE","CZ","Eastern","EU",0.6696,0.20454,0.64548,0.93618,0.42792
"17","2008","Denmark","DNK","DK","Nordic","EU",0.9134,0.93181,1,0.99333,0.74414
"18","2008","Finland","FIN","FI","Nordic","EU",0.7488,0.27272,0.6321,0.99333,0.62456
"19","2008","Spain","ESP","ES","Southern","EU",0.7228,0.36363,0.69899,0.98683,0.48336
"20","2008","France","FRA","FR","Continental","EU",0.8038,0.93181,0.82943,0.98183,0.59921
"21","2008","Germany","DEU","DE","Continental","EU",0.7136,0.15909,0.57525,0.95318,0.61644
"22","2008","Greece","GRC","GR","Southern","EU",0.5718,0.0909,0.41471,0.96979,0.33561
"23","2008","Hungary","HUN","HU","Eastern","EU",0.6494,0.20454,0.61705,0.96043,0.37162
"24","2008","Iceland","ISL","IS","Nordic","Non-EU",0.7176,0.06818,0.46153,0.97789,0.72099
"25","2008","Slovenia","SVN","SI","Eastern","EU",0.6681,0.22727,0.50167,0.97883,0.52886
"26","2010","Ireland","IRL","IE","Anglo-Saxon","EU",0.68655,0.44285,0.49841,0.9931,0.57386
"27","2010","Italy","ITA","IT","Southern","EU",0.57995,0.21428,0.28888,0.96836,0.49143
"28","2010","Latvia","LVA","LV","Eastern","EU",0.58261,0.27142,0.41587,0.9608,0.37621
"29","2010","Lithuania","LTU","LT","Eastern","EU",0.62952,0.52857,0.48253,0.96916,0.44132
"30","2010","Luxembourg","LUX","LU","Continental","EU",0.66721,0.17142,0.38095,0.9156,0.71375
"31","2010","Estonia","EST","EE","Eastern","EU",0.69653,0.68571,0.50158,0.96663,0.62729
"32","2010","Norway","NOR","NO","Nordic","Non-EU",0.80199,0.5,0.7365,0.98843,0.68303
"33","2010","Poland","POL","PL","Eastern","EU",0.55822,0.24285,0.3873,0.95516,0.33737
"34","2010","Portugal","PRT","PT","Southern","EU",0.57869,0.27142,0.3873,0.93566,0.4189
"35","2010","Romania","ROU","RO","Eastern","EU",0.54791,0.18571,0.41587,0.9226,0.30927
"36","2010","Austria","AUT","AT","Continental","EU",0.66793,0.5,0.47619,0.9598,0.57362
"37","2010","Belgium","BEL","BE","Continental","EU",0.72246,0.58571,0.62539,0.97513,0.56979
"38","2010","Bulgaria","BGR","BG","Eastern","EU",0.55902,0.3,0.40952,0.93503,0.33704
"39","2010","Croatia","HRV","HR","Eastern","EU",0.5858,0.45714,0.42222,0.91813,0.422
"40","2010","Cyprus","CYP","CY","Southern","EU",0.57053,0.48571,0.37142,0.91353,0.43266
"41","2010","Czech Republic","CZE","CZ","Eastern","EU",0.60602,0.12857,0.45396,0.9429,0.4258
"42","2010","Denmark","DNK","DK","Nordic","EU",0.78722,0.64285,0.67301,0.99333,0.69879
"43","2010","Finland","FIN","FI","Nordic","EU",0.6967,0.41428,0.47936,0.99333,0.62399
"44","2010","Spain","ESP","ES","Southern","EU",0.75156,0.82857,0.76507,0.9792,0.51
"45","2010","France","FRA","FR","Continental","EU",0.75103,0.6,0.68253,0.97723,0.59539
"46","2010","Germany","DEU","DE","Continental","EU",0.73085,0.61428,0.5492,0.95333,0.69553
"47","2010","Greece","GRC","GR","Southern","EU",0.57075,0.25714,0.35555,0.98036,0.38287
"48","2010","Hungary","HUN","HU","Eastern","EU",0.63147,0.31428,0.50476,0.9597,0.4338
"49","2010","Iceland","ISL","IS","Nordic","Non-EU",0.66971,0.04285,0.39682,0.9811,0.63948
"50","2010","Slovenia","SVN","SI","Eastern","EU",0.62426,0.51428,0.4,0.977,0.50259
"51","2012","Ireland","IRL","IE","Anglo-Saxon","EU",0.71492,0.1316,0.53594,0.9535,0.65533
"52","2012","Italy","ITA","IT","Southern","EU",0.71895,0.2632,0.57516,0.91203,0.66966
"53","2012","Latvia","LVA","LV","Eastern","EU",0.6604,0.2105,0.58823,0.88787,0.50509
"54","2012","Lithuania","LTU","LT","Eastern","EU",0.73329,0.5263,0.69934,0.92401,0.57652
"55","2012","Luxembourg","LUX","LU","Continental","EU",0.80135,0.3947,0.69934,0.84035,0.86437
"56","2012","Estonia","EST","EE","Eastern","EU",0.79873,0.7632,0.82352,0.90847,0.66421
"57","2012","Norway","NOR","NO","Nordic","Non-EU",0.85931,0.6842,0.8562,0.93468,0.78704
"58","2012","Poland","POL","PL","Eastern","EU",0.64414,0.1842,0.53594,0.90435,0.49211
"59","2012","Portugal","PRT","PT","Southern","EU",0.7165,0.3684,0.65359,0.8931,0.60281
"60","2012","Romania","ROU","RO","Eastern","EU",0.60595,0.0789,0.51633,0.87829,0.42322
"61","2012","Austria","AUT","AT","Continental","EU",0.78395,0.3684,0.74509,0.90907,0.69769
"62","2012","Belgium","BEL","BE","Continental","EU",0.77181,0.1316,0.64705,0.92641,0.74198
"63","2012","Bulgaria","BGR","BG","Eastern","EU",0.61315,0.0263,0.49019,0.84864,0.50062
"64","2012","Croatia","HRV","HR","Eastern","EU",0.73284,0.2895,0.64052,0.86152,0.69649
"65","2012","Cyprus","CYP","CY","Southern","EU",0.65081,0.0789,0.56209,0.87509,0.51526
"66","2012","Czech Republic","CZE","CZ","Eastern","EU",0.64914,0.2632,0.54248,0.88984,0.51511
"67","2012","Denmark","DNK","DK","Nordic","EU",0.88885,0.5526,0.8562,0.94888,0.86146
"68","2012","Finland","FIN","FI","Nordic","EU",0.85052,0.7368,0.88235,0.9467,0.7225
"69","2012","Spain","ESP","ES","Southern","EU",0.77696,0.5,0.75816,0.94091,0.63179
"70","2012","France","FRA","FR","Continental","EU",0.86349,0.5789,0.87581,0.92442,0.79024
"71","2012","Germany","DEU","DE","Continental","EU",0.80788,0.7632,0.75163,0.89705,0.77497
"72","2012","Greece","GRC","GR","Southern","EU",0.68716,0.3421,0.57516,0.93317,0.55314
"73","2012","Hungary","HUN","HU","Eastern","EU",0.72014,0.4474,0.68627,0.9065,0.56766
"74","2012","Iceland","ISL","IS","Nordic","Non-EU",0.78354,0.1579,0.54248,0.93099,0.87716
"75","2012","Slovenia","SVN","SI","Eastern","EU",0.74921,0.2105,0.66666,0.93003,0.65093
"76","2014","Ireland","IRL","IE","Anglo-Saxon","EU",0.781,0.64705,0.67716,0.9619,0.70391
"77","2014","Italy","ITA","IT","Southern","EU",0.7593,0.78431,0.74803,0.8552,0.67473
"78","2014","Latvia","LVA","LV","Eastern","EU",0.71775,0.70588,0.70078,0.8288,0.62367
"79","2014","Lithuania","LTU","LT","Eastern","EU",0.72709,0.64705,0.7559,0.8557,0.56968
"80","2014","Luxembourg","LUX","LU","Continental","EU",0.75911,0.54901,0.62204,0.783,0.87225
"81","2014","Estonia","EST","EE","Eastern","EU",0.81796,0.7647,0.77165,0.8889,0.79337
"82","2014","Norway","NOR","NO","Nordic","Non-EU",0.83572,0.68627,0.7559,0.938,0.81328
"83","2014","Poland","POL","PL","Eastern","EU",0.64822,0.49019,0.5433,0.8396,0.56182
"84","2014","Portugal","PRT","PT","Southern","EU",0.68996,0.64705,0.63779,0.8227,0.60943
"85","2014","Romania","ROU","RO","Eastern","EU",0.56315,0.47058,0.44094,0.81,0.43854
"86","2014","Austria","AUT","AT","Continental","EU",0.79124,0.62745,0.74803,0.866,0.75972
"87","2014","Belgium","BEL","BE","Continental","EU",0.75638,0.62745,0.67716,0.8932,0.6988
"88","2014","Bulgaria","BGR","BG","Eastern","EU",0.54209,0.2549,0.23622,0.796,0.59406
"89","2014","Croatia","HRV","HR","Eastern","EU",0.62817,0.33333,0.46456,0.7928,0.62711
"90","2014","Cyprus","CYP","CY","Southern","EU",0.59576,0.31372,0.47244,0.7828,0.53203
"91","2014","Czech Republic","CZE","CZ","Eastern","EU",0.60695,0.2549,0.37007,0.8755,0.57532
"92","2014","Denmark","DNK","DK","Nordic","EU",0.8162,0.54901,0.66141,0.9132,0.87403
"93","2014","Finland","FIN","FI","Nordic","EU",0.84491,0.70588,0.77165,0.9037,0.8594
"94","2014","Spain","ESP","ES","Southern","EU",0.84098,0.78431,0.94488,0.9152,0.66288
"95","2014","France","FRA","FR","Continental","EU",0.89384,0.96078,1,0.8812,0.80029
"96","2014","Germany","DEU","DE","Continental","EU",0.7864,0.70588,0.66929,0.8862,0.80377
"97","2014","Greece","GRC","GR","Southern","EU",0.71176,0.80392,0.60629,0.8741,0.65487
"98","2014","Hungary","HUN","HU","Eastern","EU",0.66374,0.45098,0.55905,0.8668,0.56536
"99","2014","Iceland","ISL","IS","Nordic","Non-EU",0.797,0.49019,0.61417,0.9178,0.85906
"100","2014","Slovenia","SVN","SI","Eastern","EU",0.65054,0.39215,0.42519,0.9072,0.61925
"101","2016","Ireland","IRL","IE","Anglo-Saxon","EU",0.76888,0.71186,0.72464,0.92185,0.66015
"102","2016","Italy","ITA","IT","Southern","EU",0.77636,0.91525,0.86957,0.81261,0.64691
"103","2016","Latvia","LVA","LV","Eastern","EU",0.681,0.52542,0.6087,0.8512,0.58311
"104","2016","Lithuania","LTU","LT","Eastern","EU",0.77467,0.83051,0.82609,0.87174,0.62619
"105","2016","Luxembourg","LUX","LU","Continental","EU",0.77046,0.69492,0.71739,0.77502,0.81898
"106","2016","Estonia","EST","EE","Eastern","EU",0.83344,0.81356,0.8913,0.87608,0.73295
"107","2016","Norway","NOR","NO","Nordic","Non-EU",0.81168,0.76271,0.80435,0.90306,0.72764
"108","2016","Poland","POL","PL","Eastern","EU",0.72108,0.88136,0.7029,0.87465,0.58568
"109","2016","Portugal","PRT","PT","Southern","EU",0.71437,0.66102,0.74638,0.81294,0.58379
"110","2016","Romania","ROU","RO","Eastern","EU",0.56114,0.62712,0.45652,0.77361,0.45329
"111","2016","Austria","AUT","AT","Continental","EU",0.82081,0.88136,0.91304,0.83959,0.70981
"112","2016","Belgium","BEL","BE","Continental","EU",0.7874,0.64407,0.71014,0.97124,0.68083
"113","2016","Bulgaria","BGR","BG","Eastern","EU",0.63764,0.69492,0.56522,0.78747,0.56023
"114","2016","Croatia","HRV","HR","Eastern","EU",0.71624,0.77966,0.74638,0.80498,0.59735
"115","2016","Cyprus","CYP","CY","Southern","EU",0.60226,0.52542,0.53623,0.7782,0.49234
"116","2016","Czech Republic","CZE","CZ","Eastern","EU",0.64537,0.55932,0.47826,0.86266,0.59518
"117","2016","Denmark","DNK","DK","Nordic","EU",0.85102,0.81356,0.77536,0.95303,0.82466
"118","2016","Finland","FIN","FI","Nordic","EU",0.88168,0.91525,0.94203,0.94399,0.75903
"119","2016","Spain","ESP","ES","Southern","EU",0.8135,0.9322,0.91304,0.87821,0.64926
"120","2016","France","FRA","FR","Continental","EU",0.84559,0.89831,0.94203,0.84452,0.75021
"121","2016","Germany","DEU","DE","Continental","EU",0.82099,0.76271,0.84058,0.88825,0.73415
"122","2016","Greece","GRC","GR","Southern","EU",0.691,0.61017,0.57971,0.89012,0.60318
"123","2016","Hungary","HUN","HU","Eastern","EU",0.67455,0.49153,0.63043,0.8317,0.5615
"124","2016","Iceland","ISL","IS","Nordic","Non-EU",0.76619,0.66102,0.62319,0.89401,0.78137
"125","2016","Slovenia","SVN","SI","Eastern","EU",0.77691,0.72881,0.84783,0.89517,0.58774
"126","2018","Ireland","IRL","IE","Anglo-Saxon","EU",0.8287,0.9326,0.8264,0.9626,0.697
"127","2018","Italy","ITA","IT","Southern","EU",0.8209,0.9551,0.9514,0.8341,0.6771
"128","2018","Latvia","LVA","LV","Eastern","EU",0.6996,0.6854,0.6667,0.8132,0.6188
"129","2018","Lithuania","LTU","LT","Eastern","EU",0.7534,0.8034,0.7986,0.8323,0.6293
"130","2018","Luxembourg","LUX","LU","Continental","EU",0.8334,0.9382,0.9236,0.7803,0.7964
"131","2018","Estonia","EST","EE","Eastern","EU",0.8486,0.9101,0.9028,0.8818,0.7613
"132","2018","Norway","NOR","NO","Nordic","Non-EU",0.8557,0.9775,0.9514,0.9025,0.7131
"133","2018","Poland","POL","PL","Eastern","EU",0.7926,0.8933,0.9306,0.8668,0.5805
"134","2018","Portugal","PRT","PT","Southern","EU",0.8031,0.8989,0.9306,0.817,0.6617
"135","2018","Romania","ROU","RO","Eastern","EU",0.6671,0.7079,0.6597,0.7944,0.5471
"136","2018","Austria","AUT","AT","Continental","EU",0.8301,0.8258,0.8681,0.8505,0.7716
"137","2018","Belgium","BEL","BE","Continental","EU",0.808,0.7584,0.7569,0.974,0.693
"138","2018","Bulgaria","BGR","BG","Eastern","EU",0.7177,0.8708,0.7639,0.8106,0.5785
"139","2018","Croatia","HRV","HR","Eastern","EU",0.7018,0.7697,0.6806,0.8196,0.6051
"140","2018","Cyprus","CYP","CY","Southern","EU",0.7736,0.8202,0.7847,0.8083,0.7279
"141","2018","Czech Republic","CZE","CZ","Eastern","EU",0.7084,0.618,0.6528,0.8752,0.5971
"142","2018","Denmark","DNK","DK","Nordic","EU",0.915,1,1,0.9472,0.7978
"143","2018","Finland","FIN","FI","Nordic","EU",0.8815,1,0.9653,0.9509,0.7284
"144","2018","Spain","ESP","ES","Southern","EU",0.8415,0.9831,0.9375,0.8885,0.6986
"145","2018","France","FRA","FR","Continental","EU",0.879,0.9663,0.9792,0.8598,0.7979
"146","2018","Germany","DEU","DE","Continental","EU",0.8765,0.9213,0.9306,0.9036,0.7952
"147","2018","Greece","GRC","GR","Southern","EU",0.7833,0.8764,0.8194,0.8867,0.6439
"148","2018","Hungary","HUN","HU","Eastern","EU",0.7265,0.7079,0.7361,0.8364,0.6071
"149","2018","Iceland","ISL","IS","Nordic","Non-EU",0.8316,0.6854,0.7292,0.9365,0.8292
"150","2018","Slovenia","SVN","SI","Eastern","EU",0.7714,0.8146,0.7986,0.8923,0.6232
